Hotel,Room Name,Price,Description,Features
Simple Hotel,Standard Single Room,$50/night,A cozy room perfect for solo travelers. Includes basic amenities for a comfortable stay.,"Free WiFi, TV, Air Conditioning, Single Bed"
Simple Hotel,Deluxe Double Room,$80/night,"Spacious room with modern decor, ideal for couples or small families.","Free WiFi, TV, Air Conditioning, Double Bed, Mini Fridge"
Simple Hotel,Suite,$150/night,"Luxurious suite with separate living area, perfect for extended stays or special occasions.","Free WiFi, TV, Air Conditioning, King Bed, Mini Fridge, Balcony, Room Service"
Simple Hotel,Family Room,$120/night,"Large room designed for families, with extra space and amenities for kids.","Free WiFi, TV, Air Conditioning, Two Double Beds, Mini Fridge, Kids' Play Area"
Simple Hotel,Penthouse,$300/night,Exclusive top-floor penthouse with stunning views and premium services.,"Free WiFi, TV, Air Conditioning, King Bed, Mini Fridge, Balcony, Room Service, Jacuzzi, City View"
Simple Hotel,Budget Room,$40/night,"Affordable option for budget-conscious travelers, with essential amenities.","Free WiFi, TV, Air Conditioning, Single Bed"
Simple Hotel,Executive Room,$100/night,Business-friendly room with workspace and modern comforts for professionals.,"Free WiFi, TV, Air Conditioning, King Bed, Mini Fridge, Desk, Coffee Maker"
Cozy Hotel,Standard Single Room,$50/night,A cozy room perfect for solo travelers. Includes basic amenities for a comfortable stay.,"Free WiFi, TV, Air Conditioning, Single Bed"
Cozy Hotel,Deluxe Double Room,$80/night,"Spacious room with modern decor, ideal for couples or small families.","Free WiFi, TV, Air Conditioning, Double Bed, Mini Fridge"
Cozy Hotel,Suite,$150/night,"Luxurious suite with separate living area, perfect for extended stays or special occasions.","Free WiFi, TV, Air Conditioning, King Bed, Mini Fridge, Balcony, Room Service"
Cozy Hotel,Family Room,$120/night,"Large room designed for families, with extra space and amenities for kids.","Free WiFi, TV, Air Conditioning, Two Double Beds, Mini Fridge, Kids' Play Area"
Cozy Hotel,Penthouse,$300/night,Exclusive top-floor penthouse with stunning views and premium services.,"Free WiFi, TV, Air Conditioning, King Bed, Mini Fridge, Balcony, Room Service, Jacuzzi, City View"
Cozy Hotel,Budget Room,$40/night,"Affordable option for budget-conscious travelers, with essential amenities.","Free WiFi, TV, Air Conditioning, Single Bed"
Cozy Hotel,Executive Room,$100/night,Business-friendly room with workspace and modern comforts for professionals.,"Free WiFi, TV, Air Conditioning, King Bed, Mini Fridge, Desk, Coffee Maker"
